"trial","ref_position","var_area","response","correct","rt"
1,"R",11.1619724687189,"L",TRUE,3.51300001144409
2,"L",14.6468974358868,"R",TRUE,1.91499996185303
3,"R",11.5187650159933,"L",TRUE,1.69300007820129
4,"R",13.1442418859806,"L",TRUE,1.39200019836426
5,"R",9.25714718527161,"L",TRUE,2.59899997711182
6,"L",12.9249064109754,"R",TRUE,1.38199996948242
7,"L",12.2313530682586,"R",TRUE,1.48300004005432
8,"L",10.2328954613768,"R",TRUE,1.29400014877319
9,"L",10.0579073352274,"R",TRUE,1.58899998664856
10,"L",8.59605647157878,"L",TRUE,2.10800004005432
11,"L",8.19707545870915,"L",TRUE,2.9060001373291
12,"R",11.4420524162706,"L",TRUE,1.19400000572205
13,"R",10.6651746456046,"L",TRUE,1.07600021362305
14,"R",8.82583796558902,"L",FALSE,1.48700022697449
15,"L",14.5911023807712,"R",TRUE,1.28900003433228
16,"R",9.40039271325804,"R",FALSE,2.48799991607666
17,"R",11.4194091409445,"L",TRUE,1.20099997520447
18,"R",14.7351045028772,"L",TRUE,1.39299988746643
19,"L",8.27155253477395,"L",TRUE,2.09000015258789
20,"L",8.46438392065465,"L",TRUE,2.51300001144409